French,Türkçe
pour,İçin
dans,İçinde
par,ile
plus,Daha
pas,Olumsuz
au,-Den
sur,Açık
ne,doğmak
se,se
ce,Bu
il,O
sont,var olan
La,Orada
Les,.
ou,Veya
avec,ile
son,o
Il,O
aux,ile
d'un,bir
En,İçinde
cette,Bu
d'une,A
ont,sahip olmak
ses,onun
mais,Ancak
comme,gibi
on,Biz
tout,Tüm
nous,Biz
sa,o
Mais,Ancak
fait,Yapmak
été,yaz
aussi,Ayrıca
leur,onların
bien,İYİ
peut,olabilmek
ces,bunlar
y,Y
deux,iki
A,-Den
ans,yıllar
l,BEN
encore,Tekrar
n'est,dır-dir
marché,pazar
d,D
Pour,İçin
donc,BU YÜZDEN
cours,kurs
qu'il,ki o
moins,az
sans,olmadan
C'est,Bu
Et,Ve
si,ikisinden biri
entre,arasında
Un,A
Ce,Bu
faire,YAPMAK
elle,O
c'est,Bu
peu,biraz
vous,SEN
Une,A
prix,fiyat
On,Biz
dont,olan
lui,o
également,Ayrıca
Dans,İçinde
effet,etki
pays,ülke
cas,dava
De,İle ilgili
millions,milyonlarca
Belgique,Belçika
BEF,Bef
mois,ay
leurs,onların
taux,oran
années,yıl
temps,zaman
groupe,bant
ainsi,Böylece
toujours,Her zaman
société,Şirket
depuis,O zamandan beri
tous,Tümü
soit,herhangi biri
faut,zorunda
Bruxelles,Brüksel
fois,zaman
quelques,bazı
sera,olacak
entreprises,şirket
F,F
contre,aykırı
francs,franklar
je,BEN
n'a,N / A
Nous,Biz
Cette,Bu
dernier,son
était,olmuş
Si,İkisinden biri
s'est,onun
chez,evinde
L,BEN
monde,dünya
alors,BU YÜZDEN
sous,altında
actions,hareketler
autres,diğerleri
Au,-Den
ils,Onlar
reste,kalmak
trois,üç
non,HAYIR
notre,BİZİM
doit,mutlak
nouveau,yeni
milliards,milyar
avant,Önce
exemple,örnek
compte,hesap
belge,Belçikalı
premier,Birinci
s,S
nouvelle,yeni
Elle,O
l'on,Açık
terme,terim
avait,vardı
produits,ürünler
cela,O
d'autres,diğerleri
fin,SON
niveau,seviyesi
bénéfice,kâr
toute,Tümü
travail,iş
partie,parça
trop,fazla
hausse,yükselmek
secteur,sektör
part,Gitmek
beaucoup,çok fazla
Je,BEN
valeur,değer
croissance,büyüme
rapport,rapor
USD,Amerikan Doları
aujourd'hui,Bugün
année,yıl
base,temel
Bourse,SOTCK Borsası
lors,sırasında
vers,karşı
souvent,sıklıkla
vie,hayat
l'entreprise,işletme
autre,diğer
peuvent,olabilmek
bon,İyi
surtout,Her şeyden önce
toutes,Tümü
nombre,sayı
fonds,para kaynağı
point,nokta
grande,büyük
jour,gün
va,gitmek
avoir,sahip olmak
nos,bizim
quelque,bazı
place,yer
grand,büyük
personnes,insanlar
plusieurs,birçok
certains,bazı
d'affaires,işletme
permet,izin vermek
politique,politika